#
# x265 --input FourPeople_1280x720_60.y4m -o out.h265
#
----------------------------------------------------------------------
Threads summary [ 8 thread(s) ]
----------------------------------------------------------------------
name                   inc%  exc%        fps   call/sec call/fr   cpu%
    estCostCoop         0.0   0.0   175219.0      556.3    0.00    0.0
    estCostCoop         0.0   0.0   434992.8     1380.9    0.00    0.0
    estCostCoop         0.0   0.0   574345.9     1823.3    0.00    0.0
    estCostCoop         0.0   0.0   693985.5     2203.1    0.00    0.0
    estCostCoop         0.0   0.0   408216.2     1295.9    0.00    0.0
    estCostCoop         0.0   0.0   567414.2     1801.3    0.00    0.0
    estCostCoop         0.0   0.0   552631.6     1754.4    0.00    0.0
    estCostCoop         0.0   0.0   554138.5     1759.2    0.00    0.0
    estCostCoop         0.0   0.0   256191.3      813.3    0.00    0.0
    estCostCoop         0.0   0.0   333227.6     1057.9    0.00  826.5
    estCostCoop         0.0   0.0   341260.0     1083.4    0.00    0.0
    estCostCoop         0.0   0.0   346477.5     1099.9    0.00    0.0
    estCostCoop         0.0   0.0   184280.6      585.0    0.00    0.0
    estCostCoop         0.0   0.0   254864.7      809.1    0.00    0.0
    estCostCoop         0.0   0.0   487201.3     1546.7    0.00    0.0
    estCostCoop         0.0   0.0   485848.7     1542.4    0.00    0.0
    estCostCoop         0.0   0.0   228070.8      724.0    0.00    0.0
    estCostCoop         0.0   0.0  1077475.8     3420.6    0.00    0.0
    estCostCoop         0.0   0.0   917431.2     2912.5    0.00    0.0
    estCostCoop         0.0   0.0  1983627.1     3148.6    0.00    0.0
    estCostCoop         0.0   0.0  1401557.2     2224.7    0.00    0.0
    estCostCoop         0.0   0.0  1848049.4     2933.4    0.00    0.0
    estCostCoop         0.0   0.0  1932515.4     3067.5    0.00    0.0
    estCostCoop         0.0   0.0  2011494.1     3192.8    0.00    0.0
    estCostCoop         0.0   0.0  1499286.0     2379.8    0.00    0.0
<5>                    82.3  49.0       42.6     2225.3   52.24   87.1
  prelookahead          0.8   0.8     4513.5      265.1    0.06   67.2
  estCostSingle         1.9   1.9     1843.2      307.2    0.17   91.4
  estCostCoop           6.6   6.6      527.5     1479.6    2.80  104.7
  encodeCTU            31.7  31.7      110.5     5151.2   46.61   86.9
  slicetypeDecideEV    35.6   2.3       98.5        6.9    0.07   83.1
    prelookahead        1.1   1.1     3330.0      232.6    0.07   99.1
    prelookahead        0.8   0.8     4249.3      290.0    0.07   84.3
    prelookahead        1.0   1.0     3587.4      239.2    0.07   71.2
    prelookahead        0.8   0.8     4439.4      288.9    0.07   99.1
    prelookahead        0.7   0.7     4803.5      266.9    0.06   59.6
    estCostSingle       2.0   2.0     1743.7      119.0    0.07   95.1
    estCostSingle       1.9   1.9     1892.5      132.2    0.07   79.8
    estCostSingle       2.1   2.1     1683.4      117.6    0.07  104.4
    estCostSingle       1.3   1.3     2631.0      183.8    0.07   52.2
    estCostSingle       1.4   1.4     2528.2      172.6    0.07   87.8
    estCostSingle       2.0   2.0     1792.9      122.4    0.07   84.5
    estCostSingle       1.9   1.9     1843.7      125.8    0.07   91.5
    estCostSingle       1.2   1.2     3022.5      206.3    0.07   67.5
    estCostSingle       1.1   1.1     3110.5      212.3    0.07  100.3
    estCostSingle       1.0   1.0     3496.2      238.6    0.07   78.0
    estCostSingle       1.7   1.7     2029.7      135.3    0.07   70.5
    estCostSingle       0.7   0.7     4904.9      319.2    0.07   85.2
    estCostSingle       0.7   0.7     5063.0      321.5    0.06  125.6
    estCostSingle       0.7   0.7     5156.3      327.4    0.06  127.9
    estCostSingle       0.6   0.6     6363.3      353.5    0.06   94.7
    estCostSingle       0.5   0.5     6663.4      370.2    0.06   66.1
    estCostSingle       0.5   0.5     7328.9      395.5    0.05   90.9
    estCostSingle       0.5   0.5     7602.4      410.3    0.05   94.3
    estCostSingle       0.4   0.4     8237.9      431.5    0.05   40.9
    estCostSingle       0.4   0.4     7992.1      418.6    0.05  118.9
    estCostCoop         0.2   0.2    15854.4     1107.3    0.07  118.0
    estCostCoop         0.2   0.2    16199.7     1131.4    0.07   40.2
    estCostCoop         0.1   0.1    35713.9     2494.3    0.07  265.7
    estCostCoop         0.2   0.2    16945.6     1183.5    0.07  126.1
    estCostCoop         0.1   0.1    30174.7     2107.4    0.07   74.8
    estCostCoop         0.2   0.2    16067.5     1122.2    0.07   39.8
    estCostCoop         0.1   0.1    26968.1     1883.5    0.07    0.0
    estCostCoop         0.2   0.2    16429.0     1147.4    0.07   40.7
    estCostCoop         0.1   0.1    31705.0     2214.3    0.07  157.3
